sr_no,error_message,explanation
1,ZeroDivisionError: float division by zero,Floating-point division by zero is also not allowed. Make sure the denominator is non-zero.
2,TypeError: unsupported operand type(s) for +: 'int' and 'str',You are trying to add a number and a string. Convert the string '5' to an integer using int().
3,ValueError: math domain error,You cannot take the square root of a negative number with math.sqrt(). Use a non-negative number.
4,AttributeError: 'tuple' object has no attribute 'append',Tuples are immutable — they have no append(). Use a list instead if you need to add items.
5,OverflowError: math range error,math.exp(1000) produces a number too large for Python to store as a float. Use a smaller value.
6,FileNotFoundError: [Errno 2] No such file or directory,The file path does not exist or is wrong. Double-check the full path and that the file is actually there.
7,IndexError: list index out of range,The list is empty — there are no items to access. Add elements to the list first.
8,ValueError: substring not found,index() raises an error if the character is not found. Use find() instead — it returns -1 when not found.
9,RecursionError: maximum recursion depth exceeded in comparison,"The function has no base case, so it recurses forever. Add if n <= 1: return n to stop the recursion."
10,"TypeError: list indices must be integers or slices, not str","List indices must be integers (0, 1, 2...). You used a string 'a' as the index. Use a number instead."
11,AttributeError: 'list' object has no attribute 'strip',"strip() removes whitespace from strings, not lists. Call it on the individual string: data[0].strip()"
12,ValueError: not enough values to unpack (expected 3),You have only 2 values but 3 variables. Remove one variable so they match.
13,AttributeError: 'str' object has no attribute 'append',Strings do not have an append() method — that is for lists. Use '+' or f-strings to combine strings.
14,TypeError: 'int' object is not iterable,You cannot loop over a plain number. Use range(5) to generate a sequence of numbers from 0 to 4.
15,SyntaxError: invalid syntax,"You used '=' (assignment) instead of '==' (comparison) inside an if statement. In Python, '==' checks if two values are equal."
16,TypeError: 'NoneType' object is not subscriptable,"'result' is None (has no value), so you cannot index into it with [0]. Make sure the variable holds an actual list."
17,UnboundLocalError: local variable 'x' referenced before assignment,"Inside the function, Python sees 'x = 20' and treats x as local. But you print it before assigning. Move the assignment before the print."
18,IndexError: string index out of range,The string 'hi' has only 2 characters (indices 0 and 1). Index 5 is out of range.
19,AttributeError: 'dict' object has no attribute 'add',Dicts do not have add(). add() is a set method. Use d['key'] = value to add to a dict.
